1090,36,23521.10,653.363888
1057,32,20108.81,628.400312
1063,23,14374.47,624.976956
1118,36,14286.45,396.845833
1037,30,13225.75,440.858333
1105,21,13138.15,625.626190
1116,35,12575.29,359.294000
1080,31,12560.30,405.170967
1034,25,12248.99,489.959600
1014,29,12198.48,420.637241
1098,33,12071.50,365.803030
1068,21,11829.11,563.290952
1016,22,11760.09,534.549545
1036,24,11746.55,489.439583
1102,25,11732.29,469.291600
1084,20,11544.04,577.202000
1096,27,11338.49,419.944074
1013,36,10986.89,305.191388
1077,30,10959.35,365.311666
1024,28,10913.01,389.750357
1081,29,10862.22,374.559310
1067,29,10711.29,369.354827
1099,31,10588.38,341.560645
1011,33,10408.65,315.413636
1002,17,10322.14,607.184705
1071,22,10307.19,468.508636
1073,28,10174.09,363.360357
1039,36,10173.21,282.589166
1051,38,10143.14,266.924736
1089,18,10112.17,561.787222
1104,25,10104.21,404.168400
1093,25,9869.27,394.770800
1026,36,9811.18,272.532777
1044,23,9748.06,423.828695
1004,20,9720.23,486.011500
1046,19,9630.62,506.874736
1028,23,9488.90,412.560869
1033,18,9140.24,507.791111
1053,22,8936.87,406.221363
1083,27,8860.95,328.183333
1087,23,8853.15,384.919565
1045,20,8834.25,441.712500
1058,22,8787.55,399.434090
1003,28,8777.24,313.472857
1042,33,8773.03,265.849393
1054,28,8660.63,309.308214
1082,36,8618.91,239.414166
1027,20,8409.55,420.477500
1106,16,8366.17,522.885625
1075,25,8254.86,330.194400
1092,20,8201.08,410.054000
1009,20,8118.35,405.917500
1015,24,7971.74,332.155833
1055,25,7903.38,316.135200
1066,27,7862.71,291.211481
1005,19,7853.22,413.327368
1008,26,7731.17,297.352692
1069,25,7496.33,299.853200
1108,17,7435.94,437.408235
1047,22,7418.04,337.183636
1079,19,7407.29,389.857368
1100,39,7159.20,183.569230
1114,33,7154.89,216.814848
1065,23,7057.50,306.847826
1021,19,7047.07,370.898421
1101,18,6906.01,383.667222
1035,26,6791.99,261.230384
1056,20,6769.28,338.464000
1107,15,6730.49,448.699333
1031,22,6727.50,305.795454
1030,17,6720.76,395.338823
1120,17,6684.01,393.177058
1059,35,6668.01,190.514571
1072,20,6612.98,330.649000
1119,22,6555.08,297.958181
1088,20,6505.86,325.293000
1078,23,6494.14,282.353913
1049,19,6432.26,338.540000
1020,17,6351.27,373.604117
1076,20,6274.57,313.728500
1115,15,6150.16,410.010666
1006,20,6145.00,307.250000
1050,20,6021.85,301.092500
1041,21,6005.16,285.960000
1086,25,5911.24,236.449600
1091,25,5852.77,234.110800
1109,20,5847.86,292.393000
1023,23,5775.18,251.094782
1060,18,5739.72,318.873333
1043,20,5503.75,275.187500
1038,12,5466.14,455.511666
1001,21,5441.52,259.120000
1113,11,5429.93,493.630000
1048,30,5113.41,170.447000
1061,19,4949.02,260.474736
1085,23,4875.66,211.985217
1097,26,4750.60,182.715384
1103,21,4698.03,223.715714
1018,22,4393.11,199.686818
1052,20,4344.95,217.247500
1070,22,4181.62,190.073636
1095,23,3965.68,172.420869
1117,16,3965.52,247.845000
1064,16,3862.39,241.399375
1022,15,3744.86,249.657333
1110,13,3725.31,286.562307
1032,20,3680.29,184.014500
1029,15,3605.40,240.360000
1007,24,3560.47,148.352916
1094,12,3455.01,287.917500
1074,16,3147.47,196.716875
1017,14,3115.47,222.533571
1010,20,3025.35,151.267500
1019,22,2962.66,134.666363
1062,20,2904.01,145.200500
1025,22,2828.90,128.586363
1111,21,2641.97,125.808095
1112,18,2559.19,142.177222
1012,15,2548.70,169.913333
1040,9,1255.13,139.458888
